UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",10535,BDR,"Bridgeport, CT",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,13541,MVY,"Martha's Vineyard, MA",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,13541,MVY,"Martha's Vineyard, MA",10535,BDR,"Bridgeport, CT",479,7
04Q,Tradewind Aviation,13541,MVY,"Martha's Vineyard, MA",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,12197,HPN,"White Plains, NY",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,12197,HPN,"White Plains, NY",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,12197,HPN,"White Plains, NY",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12197,HPN,"White Plains, NY",13731,NPT,"Newport, RI",479,7
04Q,Tradewind Aviation,13731,NPT,"Newport, RI",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10792,BUF,"Buffalo, NY",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,10792,BUF,"Buffalo, NY",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,14306,PVC,"Provincetown, MA",13987,OXC,"Waterbury, CT",479,7
04Q,Tradewind Aviation,14306,PVC,"Provincetown, MA",15096,SYR,"Syracuse, NY",479,7
04Q,Tradewind Aviation,14306,PVC,"Provincetown, MA",10933,CEF,"Chicopee Falls, MA",479,7
04Q,Tradewind Aviation,14306,PVC,"Provincetown, MA",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",10589,BHB,"Bar Harbor, ME",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",12391,ISP,"Islip, NY",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",15167,TEB,"Teterboro, NJ",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",15070,SWF,"Newburgh/Poughkeepsie, NY",479,7
04Q,Tradewind Aviation,12250,HYA,"Hyannis, MA",14212,POU,"Poughkeepsie, NY",479,7
04Q,Tradewind Aviation,11618,EWR,"Newark, NJ",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,11618,EWR,"Newark, NJ",16353,ZXU,"North Kingstown, RI",479,7
04Q,Tradewind Aviation,14875,SLK,"Saranac Lake/Lake Placid, NY",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,14875,SLK,"Saranac Lake/Lake Placid, NY",11764,FRG,"East Farmingdale, NY",479,7
04Q,Tradewind Aviation,14875,SLK,"Saranac Lake/Lake Placid, NY",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,14259,PSM,"Portsmouth, NH",10721,BOS,"Boston, MA",479,7
04Q,Tradewind Aviation,14259,PSM,"Portsmouth, NH",15070,SWF,"Newburgh/Poughkeepsie, NY",479,7
04Q,Tradewind Aviation,14539,RKD,"Rockland, ME",13541,MVY,"Martha's Vineyard, MA",479,7
04Q,Tradewind Aviation,14539,RKD,"Rockland, ME",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,14539,RKD,"Rockland, ME",12197,HPN,"White Plains, NY",479,7
04Q,Tradewind Aviation,10589,BHB,"Bar Harbor, ME",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12932,LEB,"Lebanon-Hanover, NH",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,12932,LEB,"Lebanon-Hanover, NH",10154,ACK,"Nantucket, MA",479,7
04Q,Tradewind Aviation,12932,LEB,"Lebanon-Hanover, NH",10540,BED,"Bedford, MA",479,7
04Q,Tradewind Aviation,12932,LEB,"Lebanon-Hanover, NH",10613,BID,"Block Island, RI",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",12250,HYA,"Hyannis, MA",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",10589,BHB,"Bar Harbor, ME",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",11456,DXR,"Danbury, CT",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",12222,HTO,"East Hampton, NY",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",13987,OXC,"Waterbury, CT",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",13398,MMU,"Morristown, NJ",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",14025,PBG,"Plattsburgh, NY",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",10535,BDR,"Bridgeport, CT",479,7
04Q,Tradewind Aviation,10154,ACK,"Nantucket, MA",11961,GON,"New London/Groton, CT",479,7
